,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2023-05-19,318.38,318.38,318.39,141164.0
2023-05-22,321.24,321.22,321.26,138328.0
2023-05-23,315.28,315.26,315.29,180148.0
2023-05-24,313.86,313.85,313.87,131238.0
2023-05-25,325.97,325.96,325.97,247992.0
2023-05-26,332.87,332.86,332.87,214820.0
2023-05-30,331.23,331.21,331.25,173436.0
2023-05-31,328.75,328.7,328.79,190390.0
2023-06-01,332.63,332.63,332.64,138445.0
2023-06-02,335.43,335.33,335.52,145844.0
2023-06-05,335.95,335.94,335.96,119919.0
2023-06-06,333.66,333.65,333.66,121235.0
2023-06-07,323.44,323.43,323.46,240862.0
2023-06-08,325.23,325.22,325.24,128173.0
2023-06-09,326.84,326.81,326.87,129488.0
2023-06-12,331.9,331.89,331.91,127616.0
2023-06-13,334.32,334.32,334.33,122060.0
2023-06-14,337.35,337.34,337.35,139289.0
2023-06-15,348.16,348.13,348.18,220925.0
2023-06-16,342.63,342.51,342.74,241766.0
2023-06-20,338.06,338.05,338.06,146602.0
2023-06-21,333.55,333.52,333.57,119376.0
2023-06-22,339.67,339.64,339.69,138678.0
2023-06-23,335.01,335.0,335.02,113734.0
2023-06-26,328.68,328.64,328.72,118586.0
2023-06-27,334.55,334.54,334.56,124470.0
2023-06-28,335.92,335.9,335.94,113265.0
2023-06-29,335.03,335.0,335.06,94073.0
2023-06-30,340.34,340.29,340.39,130182.0
2023-07-03,337.96,337.94,337.98,72749.0
2023-07-05,338.18,338.17,338.18,97211.0
2023-07-06,341.26,341.26,341.27,170983.0
2023-07-07,337.22,337.19,337.24,118479.0
2023-07-10,331.86,331.85,331.86,202451.0
2023-07-11,332.47,332.45,332.48,168072.0
2023-07-12,337.41,337.4,337.42,173591.0
2023-07-13,342.69,342.66,342.71,122327.0
2023-07-14,345.38,345.37,345.39,170752.0
2023-07-17,345.73,345.72,345.73,107904.0
2023-07-18,359.51,359.47,359.55,451023.0
2023-07-19,355.04,355.02,355.06,239247.0
2023-07-20,346.86,346.83,346.89,193588.0
2023-07-21,343.78,343.77,343.78,229777.0
2023-07-24,345.14,345.11,345.17,142553.0
2023-07-25,350.96,350.94,350.98,206236.0
2023-07-26,337.92,337.91,337.93,381937.0
2023-07-27,330.73,330.72,330.73,253412.0
2023-07-28,338.37,338.34,338.39,176041.0
2023-07-31,335.98,335.96,336.0,144108.0
2023-08-01,336.36,336.35,336.37,110396.0
2023-08-02,327.5,327.5,327.51,162371.0
2023-08-03,326.64,326.64,326.65,106958.0
2023-08-04,327.8,327.79,327.8,145320.0
2023-08-07,330.13,330.11,330.14,93494.0
2023-08-08,326.03,326.02,326.04,125649.0
2023-08-09,322.3,322.26,322.33,109675.0
2023-08-10,322.97,322.96,322.98,109478.0
2023-08-11,321.17,321.11,321.22,114957.0
2023-08-14,324.04,324.03,324.04,100496.0
2023-08-15,321.92,321.9,321.93,101751.0
2023-08-16,320.36,320.35,320.37,98629.0
2023-08-17,316.87,316.85,316.88,113606.0
2023-08-18,316.53,316.52,316.53,141665.0
2023-08-21,321.88,321.86,321.9,99367.0
2023-08-22,322.45,322.44,322.46,84742.0
2023-08-23,327.03,326.99,327.06,97644.0
2023-08-24,319.99,319.98,319.99,115818.0
2023-08-25,322.96,322.92,323.0,108752.0
2023-08-28,323.72,323.69,323.74,80211.0
2023-08-29,328.36,328.32,328.4,98746.0
2023-08-30,328.77,328.74,328.81,77756.0
2023-08-31,327.77,327.74,327.8,94313.0
2023-09-01,328.64,328.62,328.66,77110.0
2023-09-05,333.57,333.55,333.58,93485.0
2023-09-06,332.89,332.88,332.9,91924.0
2023-09-07,329.93,329.91,329.95,91945.0
2023-09-08,334.28,334.24,334.32,109704.0
2023-09-11,337.96,337.95,337.96,84161.0
2023-09-12,331.75,331.74,331.75,88670.0
2023-09-13,336.06,336.02,336.1,80821.0
2023-09-14,338.68,338.67,338.68,104600.0
2023-09-15,330.26,330.26,330.27,166248.0
2023-09-18,329.08,329.06,329.1,88963.0
2023-09-19,328.64,328.63,328.65,94341.0
2023-09-20,320.74,320.72,320.76,108084.0
2023-09-21,319.53,319.51,319.55,214414.0
2023-09-22,317.0,316.99,317.01,109508.0
2023-09-25,317.59,317.57,317.6,97304.0
2023-09-26,312.13,312.12,312.14,150358.0
2023-09-27,312.85,312.83,312.86,114641.0
2023-09-28,313.63,313.59,313.67,111169.0
2023-09-29,315.74,315.71,315.76,111440.0
2023-10-02,321.81,321.8,321.81,116536.0
2023-10-03,313.38,313.36,313.39,123462.0
2023-10-04,318.96,318.95,318.96,111407.0
2023-10-05,319.39,319.37,319.41,96376.0
2023-10-06,327.25,327.23,327.28,139337.0
2023-10-09,329.83,329.82,329.83,114028.0
2023-10-10,328.38,328.38,328.39,127033.0
2023-10-11,332.44,332.42,332.46,109727.0
2023-10-12,331.17,331.15,331.18,121413.0
2023-10-13,327.67,327.66,327.68,107466.0
2023-10-16,332.64,332.62,332.66,130027.0
2023-10-17,332.07,332.06,332.08,104876.0
2023-10-18,330.14,330.13,330.15,141350.0
2023-10-19,331.28,331.25,331.32,158318.0
2023-10-20,326.68,326.64,326.71,146749.0
2023-10-23,329.17,329.16,329.17,130458.0
2023-10-24,330.81,330.73,330.88,139324.0
2023-10-25,340.68,340.67,340.68,336634.0
2023-10-26,327.86,327.84,327.88,235657.0
2023-10-27,329.83,329.82,329.83,186448.0
2023-10-30,337.31,337.29,337.33,139370.0
2023-10-31,338.1,338.08,338.11,108895.0
2023-11-01,346.1,346.07,346.12,162267.0
2023-11-02,348.38,348.37,348.4,139068.0
2023-11-03,352.82,352.8,352.83,132219.0
2023-11-06,356.63,356.63,356.64,128680.0
2023-11-07,360.51,360.5,360.53,137568.0
2023-11-08,363.22,363.21,363.23,123781.0
2023-11-09,360.76,360.75,360.78,119081.0
2023-11-10,369.6,369.52,369.67,141977.0
2023-11-13,366.68,366.67,366.68,116757.0
2023-11-14,370.28,370.26,370.3,155365.0
2023-11-15,369.68,369.66,369.69,143984.0
2023-11-16,376.21,376.2,376.22,157863.0
2023-11-17,369.79,369.78,369.79,232041.0
2023-11-20,377.64,377.62,377.66,275430.0
2023-11-21,373.08,373.07,373.09,152621.0
2023-11-22,377.89,377.88,377.91,137768.0
2023-11-24,377.35,377.32,377.37,52508.0
2023-11-27,378.61,378.6,378.61,107865.0
2023-11-28,382.69,382.68,382.7,119050.0
2023-11-29,378.87,378.86,378.88,150930.0
2023-11-30,378.92,378.9,378.93,115687.0
2023-12-01,374.48,374.44,374.51,187576.0
2023-12-04,369.26,369.26,369.27,201468.0
2023-12-05,372.58,372.57,372.58,140298.0
2023-12-06,368.82,368.81,368.83,122035.0
2023-12-07,370.88,370.85,370.9,121073.0
2023-12-08,374.25,374.19,374.3,109946.0
2023-12-11,371.31,371.29,371.32,154376.0
2023-12-12,374.34,374.33,374.35,129315.0
2023-12-13,374.32,374.3,374.33,154324.0
2023-12-14,365.98,365.96,365.99,263085.0
2023-12-15,368.69,368.6,368.77,261540.0
2023-12-18,372.59,372.58,372.6,108021.0
2023-12-19,373.23,373.2,373.26,103785.0
2023-12-20,370.56,370.54,370.57,144169.0
2023-12-21,373.48,373.43,373.52,94352.0
2023-12-22,374.58,374.55,374.6,80275.0
2023-12-26,374.66,374.65,374.67,70197.0
2023-12-27,374.07,374.05,374.08,74393.0
2023-12-28,375.28,375.25,375.32,79316.0
2023-12-29,375.96,375.91,376.01,95666.0
2024-01-02,370.84,370.81,370.87,121974.0
2024-01-03,370.59,370.57,370.6,101028.0
2024-01-04,367.95,367.94,367.95,103308.0
2024-01-05,367.67,367.65,367.69,102016.0
2024-01-08,374.63,374.59,374.67,114935.0
2024-01-09,375.78,375.77,375.79,104079.0
2024-01-10,382.78,382.77,382.79,137739.0
2024-01-11,384.64,384.62,384.66,157273.0
2024-01-12,388.43,388.41,388.45,113878.0
2024-01-16,390.26,390.25,390.28,141153.0
2024-01-17,389.46,389.39,389.53,107057.0
2024-01-18,393.82,393.8,393.84,113933.0
2024-01-19,398.64,398.62,398.66,150268.0
2024-01-22,396.51,396.5,396.52,125929.0
2024-01-23,398.87,398.84,398.9,90666.0
2024-01-24,402.56,402.54,402.57,123508.0
2024-01-25,405.08,405.06,405.09,117032.0
2024-01-26,403.96,403.91,404.0,89917.0
2024-01-29,409.74,409.72,409.75,120420.0
2024-01-30,408.61,408.59,408.62,158305.0
2024-01-31,397.39,397.34,397.44,280648.0
2024-02-01,403.82,403.78,403.85,180589.0
2024-02-02,411.11,411.08,411.13,156061.0
2024-02-05,405.62,405.57,405.66,124230.0
2024-02-06,405.5,405.48,405.53,105186.0
2024-02-07,414.11,414.07,414.14,106045.0
2024-02-08,414.17,414.15,414.18,84524.0
2024-02-09,420.6,420.59,420.6,108949.0
2024-02-12,415.32,415.29,415.34,99875.0
2024-02-13,406.56,406.55,406.57,147472.0
2024-02-14,409.22,409.19,409.24,110708.0
2024-02-15,406.63,406.62,406.65,121031.0
2024-02-16,404.06,404.05,404.06,99675.0
2024-02-20,402.89,402.87,402.92,106527.0
2024-02-21,402.17,402.14,402.2,87496.0
2024-02-22,411.56,411.54,411.58,130238.0
2024-02-23,410.29,410.26,410.32,79014.0
2024-02-26,407.49,407.47,407.5,73001.0
2024-02-27,407.49,407.46,407.51,75336.0
2024-02-28,407.73,407.71,407.74,68029.0
2024-02-29,413.37,413.29,413.44,112526.0
2024-03-01,415.44,415.32,415.57,91949.0
2024-03-04,414.87,414.85,414.89,86134.0
2024-03-05,402.85,402.84,402.85,147126.0
2024-03-06,402.26,402.22,402.3,131875.0
2024-03-07,409.01,408.98,409.04,93720.0
2024-03-08,406.17,406.08,406.26,90160.0
2024-03-11,404.57,404.55,404.59,82353.0
2024-03-12,415.26,415.24,415.28,111938.0
2024-03-13,415.22,415.21,415.23,81890.0
2024-03-14,425.5,425.49,425.5,198367.0
2024-03-15,416.43,416.39,416.47,189466.0
2024-03-18,417.39,417.37,417.41,89550.0
2024-03-19,421.36,421.33,421.38,91233.0
2024-03-20,425.2,425.16,425.24,89032.0
2024-03-21,429.37,429.35,429.38,98000.0
2024-03-22,428.7,428.67,428.72,66873.0
2024-03-25,422.86,422.83,422.89,78971.0
2024-03-26,421.92,421.88,421.95,74986.0
2024-03-27,421.5,421.48,421.52,72209.0
2024-03-28,420.03,420.02,420.03,74832.0
2024-04-01,424.55,424.52,424.57,81477.0
2024-04-02,421.46,421.45,421.46,76703.0
2024-04-03,420.5,420.48,420.53,85124.0
2024-04-04,417.94,417.91,417.97,84999.0
2024-04-05,425.44,425.35,425.53,73769.0
2024-04-08,424.66,424.63,424.69,67937.0
2024-04-09,426.3,426.24,426.35,59907.0
2024-04-10,423.16,423.12,423.2,82259.0
2024-04-11,427.87,427.83,427.9,85430.0
2024-04-12,422.01,421.9,422.12,86872.0
2024-04-15,413.63,413.59,413.66,92514.0
2024-04-16,414.53,414.5,414.57,71776.0
2024-04-17,411.77,411.73,411.82,75359.0
2024-04-18,404.15,404.14,404.16,88973.0
2024-04-19,399.04,398.97,399.11,115621.0
2024-04-22,400.94,400.82,401.07,88183.0
2024-04-23,407.6,407.48,407.71,65257.0
2024-04-24,408.89,408.85,408.94,62159.0
2024-04-25,399.45,399.28,399.61,209497.0
2024-04-26,406.24,406.14,406.33,169124.0
2024-04-29,402.17,402.12,402.21,103254.0
2024-04-30,389.25,389.2,389.31,129932.0
2024-05-01,394.92,394.9,394.94,117963.0
2024-05-02,397.93,397.9,397.96,74496.0
2024-05-03,406.86,406.84,406.88,82057.0
2024-05-06,413.62,413.58,413.65,70151.0
2024-05-07,409.21,409.15,409.27,77014.0
2024-05-08,410.49,410.46,410.52,51082.0
2024-05-09,412.32,412.28,412.35,51829.0
2024-05-10,414.66,414.61,414.71,52945.0
2024-05-13,413.76,413.75,413.78,63628.0
2024-05-14,416.45,416.41,416.49,62934.0
