,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2023-08-04,33.81,33.8,33.82,230307.0
2023-08-07,35.32,35.31,35.33,205762.0
2023-08-08,34.72,34.69,34.75,231613.0
2023-08-09,26.62,26.61,26.62,753324.0
2023-08-10,27.71,27.71,27.71,403257.0
2023-08-11,25.44,25.43,25.45,399393.0
2023-08-14,26.95,26.95,26.95,345102.0
2023-08-15,26.41,26.4,26.42,153050.0
2023-08-16,25.36,25.35,25.37,157016.0
2023-08-17,24.42,24.41,24.43,162130.0
2023-08-18,24.37,24.36,24.39,175267.0
2023-08-21,25.26,25.26,25.26,169403.0
2023-08-22,25.8,25.8,25.81,189931.0
2023-08-23,27.78,27.76,27.8,264066.0
2023-08-24,26.25,26.24,26.27,387427.0
2023-08-25,25.4,25.39,25.4,277953.0
2023-08-28,25.53,25.52,25.54,127947.0
2023-08-29,26.16,26.15,26.17,245597.0
2023-08-30,26.81,26.79,26.82,256165.0
2023-08-31,27.5,27.48,27.51,303871.0
2023-09-01,28.21,28.19,28.22,259246.0
2023-09-05,28.0,28.0,28.0,232895.0
2023-09-06,27.41,27.4,27.41,169036.0
2023-09-07,26.73,26.72,26.75,197545.0
2023-09-08,28.07,28.07,28.07,184706.0
2023-09-11,27.73,27.72,27.74,194340.0
2023-09-12,26.76,26.76,26.77,133785.0
2023-09-13,27.11,27.1,27.12,132707.0
2023-09-14,27.07,27.05,27.08,106328.0
2023-09-15,24.94,24.93,24.95,243324.0
2023-09-18,24.43,24.43,24.44,165423.0
2023-09-19,24.79,24.77,24.8,119582.0
2023-09-20,24.31,24.3,24.32,98700.0
2023-09-21,23.16,23.15,23.16,169189.0
2023-09-22,23.58,23.57,23.59,94157.0
2023-09-25,24.9,24.9,24.91,170022.0
2023-09-26,24.91,24.9,24.92,128509.0
2023-09-27,25.76,25.75,25.77,193403.0
2023-09-28,26.92,26.9,26.94,180193.0
2023-09-29,27.41,27.39,27.42,222057.0
2023-10-02,28.87,28.86,28.89,237967.0
2023-10-03,27.01,27.0,27.02,255859.0
2023-10-04,28.03,28.02,28.04,215174.0
2023-10-05,28.75,28.74,28.76,183054.0
2023-10-06,28.96,28.96,28.97,174293.0
2023-10-09,28.99,28.99,29.0,169824.0
2023-10-10,31.03,31.02,31.04,352476.0
2023-10-11,30.88,30.86,30.89,249310.0
2023-10-12,29.32,29.31,29.33,267747.0
2023-10-13,28.52,28.51,28.53,255621.0
2023-10-16,29.17,29.16,29.17,156742.0
2023-10-17,29.86,29.85,29.87,293418.0
2023-10-18,28.51,28.5,28.52,215820.0
2023-10-19,26.51,26.5,26.52,271854.0
2023-10-20,24.86,24.86,24.87,234312.0
2023-10-23,25.47,25.45,25.49,194005.0
2023-10-24,26.26,26.25,26.27,163460.0
2023-10-25,25.41,25.4,25.41,141944.0
2023-10-26,23.95,23.95,23.95,194181.0
2023-10-27,24.15,24.14,24.17,108711.0
2023-10-30,23.66,23.65,23.68,165062.0
2023-10-31,23.94,23.93,23.95,121273.0
2023-11-01,25.22,25.21,25.23,208827.0
2023-11-02,24.61,24.61,24.62,505197.0
2023-11-03,25.49,25.49,25.5,349718.0
2023-11-06,25.26,25.26,25.27,165804.0
2023-11-07,25.43,25.41,25.44,119203.0
2023-11-08,26.03,26.03,26.04,141289.0
2023-11-09,26.49,26.49,26.5,270826.0
2023-11-10,26.6,26.58,26.61,169237.0
2023-11-13,25.58,25.57,25.59,194849.0
2023-11-14,29.38,29.38,29.39,399964.0
2023-11-15,28.77,28.76,28.78,217378.0
